Nombre,Cierre,Máximo,Mínimo,Var.,Var %,Vol.,Hora
Adidas,175.92,175.92,163.46,+10.74,+6.50%,869.02K,10:35:15
Airbus Group,105.88,106.98,102.66,+1.54,+1.48%,488.53K,10:35:24
Allianz,175.72,176.70,172.34,+2.04,+1.17%,836.61K,10:39:21
BASF,44.685,45.965,41.825,+1.965,+4.60%,4.64M,10:44:57
Bayer,58.07,59.00,55.02,+2.64,+4.76%,3.23M,10:41:57
Beiersdorf,100.450,100.900,97.660,+1.650,+1.67%,295.56K,10:38:23
BMW,78.130,79.380,75.060,+2.130,+2.80%,1.38M,10:44:57
Brenntag AG,64.180,64.420,61.600,+1.320,+2.10%,376.22K,10:35:05
Continental,70.86,71.44,66.32,+2.62,+3.84%,402.66K,10:35:09
Covestro,34.790,35.760,32.390,+1.910,+5.81%,1.82M,10:35:15
Daimler,56.440,56.660,53.310,+2.470,+4.58%,3.48M,10:35:10
Daimler Truck Holding,25.70,26.03,24.43,+0.92,+3.69%,1.47M,10:42:53
Deutsche Bank,8.432,8.506,7.988,+0.361,+4.47%,10.57M,10:40:48
Deutsche Borse,162.550,162.900,158.050,+1.550,+0.96%,344.01K,10:35:08
Deutsche Post,37.585,37.585,36.065,+0.900,+2.45%,2.58M,10:36:15
Deutsche Tel.,19.082,19.182,18.862,+0.142,+0.75%,8.41M,10:41:13
E.ON,8.394,8.436,8.000,+0.344,+4.27%,8.29M,10:35:04
Fresenius Medical Care,45.700,46.030,44.710,+0.690,+1.53%,688.88K,10:37:19
Fresenius SE,27.880,27.900,26.990,+0.690,+2.54%,1.11M,10:35:27
Hannover Rueckversicherung AG,140.60,141.10,137.25,+1.80,+1.30%,117.85K,10:35:01
Heidelbergcement,49.670,50.500,47.420,+1.900,+3.98%,720.12K,10:35:20
HelloFresh,33.05,33.07,30.97,+0.58,+1.79%,756.37K,10:35:13
Henkel,62.02,62.32,60.06,+0.82,+1.34%,707.42K,10:41:33
Infineon,24.300,24.415,22.860,+0.630,+2.66%,4.16M,10:38:58
Linde PLC,279.100,279.600,269.300,+3.500,+1.27%,767.69K,10:35:09
Merck,170.50,171.10,163.30,+5.15,+3.11%,343.40K,10:35:17
Mtu Aero Engines Holding AG,189.80,191.00,183.00,+4.05,+2.18%,149.50K,10:35:15
Munich Re,223.90,225.00,218.90,+3.20,+1.45%,295.38K,10:35:06
Porsche Automobil Holding SE,70.380,71.380,68.320,+1.300,+1.88%,576.62K,10:44:00
Puma SE,67.56,67.56,64.10,+2.32,+3.56%,401.09K,10:35:12
Qiagen NV,45.900,45.900,44.810,+0.260,+0.57%,467.60K,10:36:29
RWE,38.590,38.950,36.870,+1.480,+3.99%,2.55M,10:35:13
SAP,89.880,90.180,86.410,+2.160,+2.46%,2.23M,10:35:43
Sartorius AG Vz,378.000,379.500,357.900,+7.100,+1.91%,65.82K,10:35:07
Siemens,105.78,106.54,99.60,+4.58,+4.53%,2.22M,10:44:19
Siemens Healthineers,48.90,48.97,46.93,+1.04,+2.17%,676.77K,10:35:04
Symrise AG,107.250,107.250,102.800,+1.550,+1.47%,360.67K,10:42:16
Volkswagen VZO,141.22,143.12,134.46,+5.26,+3.87%,1.16M,10:38:14
Vonovia,29.46,29.50,28.33,+0.81,+2.83%,2.11M,10:35:06
Zalando SE,28.04,28.04,26.15,+1.02,+3.77%,1.29M,10:35:09
